,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%
2,Blake Griffin,Oklahoma,Big 12,Career,7.37,68,63,30.9,18.8,8.3,3.6,11.8,2.1,1.1,1.0,2.8,2.5,7.1,11.5,0.618,4.5,7.7,0.589,7.1,11.4,0.622,0.0,0.1,0.3
6,Hasheem Thabeet,UConn,Big East,Career,7.14,100,99,29.3,10.3,5.4,3.0,8.5,0.4,0.4,4.2,1.8,2.6,3.6,5.9,0.611,3.1,5.0,0.625,3.6,5.9,0.611,0.0,0.0,0.0
9,James Harden,Arizona State,Pac-10,Career,7.05,69,68,35.0,19.0,4.1,1.3,5.4,3.7,1.9,0.4,3.0,2.5,6.0,11.9,0.506,5.4,7.2,0.755,4.6,8.0,0.57,1.5,3.9,0.376
11,Tyreke Evans,Memphis,CUSA,Career,4.63,37,35,29.0,17.1,4.1,1.3,5.4,3.9,2.1,0.8,3.6,2.4,6.2,13.6,0.455,3.7,5.2,0.711,5.3,10.3,0.514,0.9,3.4,0.274
14,Jonny Flynn,Syracuse,Big East,Career,8.72,73,73,36.5,16.6,2.1,0.6,2.7,6.0,1.5,0.2,3.1,1.5,5.6,12.2,0.46,4.0,5.1,0.782,4.2,8.1,0.525,1.4,4.2,0.333
18,Stephen Curry,Davidson,Southern,Career,-1.31,104,103,32.6,25.3,3.8,0.8,4.5,3.7,2.1,0.3,3.0,2.4,8.4,17.9,0.467,4.6,5.3,0.8759999999999999,4.4,8.3,0.53,4.0,9.7,0.412
22,Jordan Hill,Arizona,Pac-10,Career,9.93,97,79,27.0,12.5,5.1,2.8,7.9,0.8,0.5,1.4,2.0,2.7,5.1,8.8,0.578,2.3,3.6,0.636,5.1,8.8,0.578,0.0,0.0,0.0
24,DeMar DeRozan,USC,Pac-10,Career,9.15,35,35,33.4,13.9,3.3,2.4,5.7,1.5,0.9,0.4,2.1,2.1,5.5,10.5,0.523,2.7,4.2,0.6459999999999999,5.3,9.5,0.562,0.2,1.0,0.16699999999999998
29,Terrence Williams,Louisville,Big East,Career,7.65,140,127,32.2,11.2,5.5,1.5,6.9,3.9,1.5,0.6,2.4,1.9,4.1,10.3,0.4,1.5,2.6,0.589,2.7,6.0,0.457,1.4,4.4,0.32
34,Tyler Hansbrough,UNC,ACC,Career,8.39,142,141,30.9,20.2,5.2,3.4,8.6,1.1,1.3,0.5,2.1,2.5,6.6,12.3,0.536,6.9,8.7,0.7909999999999999,6.5,12.1,0.541,0.1,0.3,0.316
38,Earl Clark,Louisville,Big East,Career,8.03,104,63,26.7,10.6,4.9,2.1,7.0,1.7,0.9,1.2,2.1,1.7,4.0,8.6,0.467,2.0,3.2,0.64,3.5,6.8,0.512,0.5,1.8,0.298
41,Austin Daye,Gonzaga,WCC,Career,2.85,67,34,22.5,11.6,4.9,0.9,5.8,1.0,0.7,1.9,1.9,2.6,4.1,8.6,0.477,2.5,3.1,0.79,3.2,6.4,0.495,0.9,2.2,0.422
43,Jrue Holiday,UCLA,Pac-10,Career,7.18,35,35,27.1,8.5,2.5,1.3,3.8,3.7,1.6,0.5,2.1,2.1,3.2,7.1,0.45,1.3,1.8,0.726,2.4,4.6,0.528,0.8,2.5,0.307
47,Ty Lawson,UNC,ACC,Career,8.59,105,95,27.0,13.1,2.3,0.6,2.9,5.8,1.8,0.1,2.1,2.0,4.4,8.5,0.517,3.2,4.1,0.78,3.3,5.9,0.568,1.1,2.6,0.403
50,Jeff Teague,Wake Forest,ACC,Career,8.09,61,52,30.9,16.4,2.5,0.5,3.0,3.0,1.9,0.6,3.0,2.3,5.2,11.2,0.462,4.8,5.9,0.812,3.9,8.2,0.477,1.3,3.0,0.421
55,Eric Maynor,VCU,CAA,Career,-0.76,130,104,30.7,15.0,2.9,0.5,3.4,5.2,1.3,0.2,2.4,2.0,5.0,11.2,0.449,3.9,4.9,0.7909999999999999,3.9,8.3,0.477,1.1,3.0,0.37
60,Darren Collison,UCLA,Pac-10,Career,8.25,142,104,29.2,11.5,1.8,0.4,2.3,4.1,1.6,0.1,2.4,1.4,4.0,8.3,0.475,2.5,2.9,0.851,2.8,5.7,0.494,1.2,2.7,0.435
62,BJ Mullens,Ohio State,Big Ten,Career,8.23,33,2,20.3,8.8,3.0,1.7,4.7,0.3,0.5,1.1,1.5,2.1,3.6,5.7,0.638,1.6,2.8,0.5589999999999999,3.6,5.7,0.642,0.0,0.0,0.0
66,Taj Gibson,USC,Pac-10,Career,8.54,105,104,32.7,12.4,5.6,2.9,8.5,1.4,0.7,2.4,2.5,3.1,4.8,8.2,0.58,2.9,4.6,0.629,4.8,8.2,0.58,0.0,0.0,0.0
71,DeMarre Carroll,Overall,,Career,7.11,134,89,24.5,11.2,3.6,2.4,6.0,1.6,1.1,0.4,1.3,2.3,4.5,8.4,0.535,2.1,3.5,0.603,4.3,7.6,0.5589999999999999,0.2,0.7,0.281
75,Wayne Ellington,UNC,ACC,Career,8.59,115,112,28.5,14.7,3.0,1.1,4.1,2.2,0.9,0.1,1.5,1.5,5.4,11.6,0.463,2.0,2.5,0.809,3.4,6.6,0.513,2.0,5.0,0.397
80,Toney Douglas,Overall,,Career,7.61,130,126,34.2,16.8,3.0,0.8,3.8,2.6,1.8,0.3,2.6,2.3,5.7,12.9,0.442,3.6,4.4,0.802,3.8,8.0,0.483,1.8,4.9,0.376
85,Jeff Pendergraph,Arizona State,Pac-10,Career,7.3,126,120,30.2,12.6,4.8,2.7,7.5,0.8,0.5,1.0,1.8,3.1,4.8,8.4,0.58,2.9,3.8,0.764,4.8,8.3,0.585,0.0,0.1,0.0
90,Jermaine Taylor,UCF,CUSA,Career,0.56,122,60,25.8,16.2,2.3,1.5,3.9,1.4,0.9,0.4,2.2,1.7,5.8,12.5,0.466,2.5,3.3,0.764,3.8,7.0,0.536,2.1,5.5,0.376
95,Dante Cunningham,Villanova,Big East,Career,8.7,139,104,27.2,9.6,3.4,2.5,5.9,1.0,1.2,0.8,1.8,2.8,3.7,7.1,0.524,2.2,3.2,0.693,3.7,7.0,0.525,0.0,0.0,0.333
99,DaJuan Summers,Georgetown,Big East,Career,8.56,101,98,27.6,11.2,3.1,1.3,4.4,1.3,1.0,0.6,2.2,2.4,3.6,8.3,0.439,2.5,3.4,0.727,2.2,4.2,0.522,1.4,4.1,0.353
104,Sam Young,Pitt,Big East,Career,8.0,143,78,25.5,13.2,3.2,1.8,5.0,1.0,0.8,0.8,1.9,1.7,5.0,10.1,0.498,2.4,3.4,0.6920000000000001,4.2,7.8,0.539,0.8,2.3,0.35600000000000004
107,DeJuan Blair,Pitt,Big East,Career,8.22,72,71,26.6,13.6,6.0,4.7,10.7,1.1,1.6,1.0,1.6,2.8,5.5,9.6,0.568,2.7,4.3,0.614,5.5,9.6,0.568,0.0,0.0,0.0
112,Jon Brockman,Washington,Pac-10,Career,7.16,131,129,28.7,13.8,6.1,3.7,9.8,1.0,0.8,0.1,2.1,2.8,5.5,10.3,0.534,2.8,4.6,0.612,5.5,10.3,0.534,0.0,0.0,0.0
116,Derrick Brown,Xavier,A-10,Career,4.5,106,72,25.0,10.3,3.7,1.9,5.6,1.5,0.7,0.8,1.6,2.5,3.7,6.5,0.573,2.4,3.3,0.718,3.2,5.3,0.61,0.5,1.2,0.415
120,Jodie Meeks,Kentucky,SEC,Career,7.77,81,42,27.7,15.4,2.4,0.7,3.0,1.6,1.1,0.1,1.8,1.6,4.8,10.9,0.436,3.7,4.1,0.89,2.6,5.2,0.491,2.2,5.7,0.386
123,Marcus Thornton,LSU,SEC,Career,4.46,66,65,32.7,20.4,3.5,2.0,5.5,1.8,1.5,0.3,2.0,2.0,7.1,15.6,0.455,3.7,4.8,0.7709999999999999,4.5,8.9,0.51,2.5,6.7,0.382
127,Chase Budinger,Arizona,Pac-10,Career,9.93,100,100,35.4,17.0,4.4,1.4,5.8,2.8,1.3,0.4,2.1,1.8,6.0,12.8,0.469,3.1,4.0,0.782,4.1,7.8,0.524,1.9,5.0,0.383
130,Nick Calathes,Florida,SEC,Career,4.43,72,71,33.0,16.3,4.3,1.0,5.3,6.3,1.8,0.1,3.1,2.0,5.3,11.6,0.455,3.9,5.4,0.715,3.5,6.8,0.507,1.8,4.8,0.38
135,Danny Green,UNC,ACC,Career,8.39,145,39,19.9,9.4,2.7,1.4,4.1,1.8,1.1,1.1,1.4,1.9,3.4,7.4,0.455,1.4,1.6,0.845,2.1,4.1,0.522,1.3,3.4,0.375
140,Taylor Griffin,Oklahoma,Big 12,Career,7.19,129,78,22.3,6.6,3.0,1.7,4.8,1.0,0.9,0.8,1.4,2.5,2.3,4.9,0.468,1.9,2.6,0.721,2.2,4.5,0.493,0.1,0.5,0.22
145,Goran Suton,Michigan State,Big Ten,Career,8.19,134,91,24.0,8.1,4.3,2.3,6.6,1.6,0.8,0.7,1.8,2.4,3.3,6.2,0.521,1.4,1.8,0.753,3.1,5.8,0.536,0.2,0.5,0.348
150,Jack McClinton,Overall,,Career,5.21,125,106,31.9,16.9,2.7,0.6,3.2,2.6,0.8,0.0,2.5,2.1,5.4,12.7,0.4270000000000001,3.4,3.8,0.8809999999999999,2.8,6.5,0.428,2.7,6.2,0.426
154,A.J. Price,UConn,Big East,Career,7.14,99,91,29.4,13.0,2.6,0.8,3.4,4.7,1.1,0.1,2.4,1.4,4.3,10.5,0.413,2.7,3.7,0.722,2.7,6.1,0.447,1.6,4.4,0.365
159,Robert Vaden,Overall,,Career,5.78,127,127,35.1,15.8,3.7,0.9,4.6,2.6,1.2,0.3,2.7,2.3,5.3,13.2,0.405,2.2,2.7,0.8079999999999999,2.3,5.3,0.44,3.0,7.8,0.382
162,Patrick Mills,Saint Mary's,WCC,Career,0.92,58,56,32.7,16.4,1.8,0.4,2.2,3.7,2.0,0.2,2.9,1.6,5.6,13.4,0.415,3.0,3.7,0.8059999999999999,3.4,6.8,0.499,2.2,6.7,0.331
167,Ahmad Nivins,St. Joseph's,A-10,Career,3.39,126,108,33.0,14.2,4.7,2.8,7.6,0.5,0.7,1.3,2.2,2.7,4.9,7.8,0.627,4.5,6.1,0.733,4.9,7.8,0.628,0.0,0.0,0.0
170,Lester Hudson,UT-Martin,OVC,Career,-5.64,65,64,36.5,26.6,5.7,2.2,7.9,4.4,2.6,0.6,3.6,2.7,9.3,20.4,0.456,4.4,5.2,0.858,5.8,10.8,0.53,3.5,9.5,0.3720000000000001
174,Chinemelu Elonu,Texas A&M,Big 12,Career,6.24,90,30,13.8,5.1,2.7,1.6,4.4,0.2,0.2,0.9,1.1,1.7,2.0,3.1,0.633,1.2,2.0,0.578,2.0,3.1,0.633,0.0,0.0,0.0
179,Robert Dozier,Memphis,CUSA,Career,4.63,148,111,25.0,9.3,3.9,2.6,6.5,1.0,1.0,1.5,1.7,2.6,3.3,7.1,0.466,2.4,3.4,0.6920000000000001,3.0,6.0,0.493,0.3,1.1,0.312
181,John Wall,Kentucky,SEC,Career,6.82,37,37,34.8,16.6,3.5,0.8,4.3,6.5,1.8,0.5,4.0,1.9,5.5,11.8,0.461,4.7,6.3,0.754,4.5,8.8,0.509,1.0,3.1,0.325
185,Evan Turner,Ohio State,Big Ten,Career,7.86,101,94,32.8,15.0,5.3,1.5,6.8,4.1,1.6,0.7,3.5,2.7,5.3,10.6,0.502,3.8,5.0,0.758,4.8,9.1,0.525,0.5,1.5,0.362
187,Derrick Favors,Georgia Tech,ACC,Career,9.02,36,35,27.5,12.4,5.4,3.0,8.4,1.0,0.9,2.1,2.5,2.6,5.0,8.1,0.611,2.5,4.0,0.629,5.0,8.1,0.613,0.0,0.0,0.0
189,DeMarcus Cousins,Kentucky,SEC,Career,6.82,38,37,23.5,15.1,5.8,4.1,9.8,1.0,1.0,1.8,2.1,3.2,5.4,9.7,0.5579999999999999,4.3,7.1,0.604,5.4,9.6,0.565,0.0,0.2,0.16699999999999998
193,Ekpe Udoh,Overall,,Career,7.6,103,67,27.2,8.4,3.8,2.5,6.3,1.5,0.8,2.8,1.5,2.2,3.3,7.0,0.472,1.6,2.5,0.649,3.2,6.6,0.485,0.1,0.4,0.289
196,Greg Monroe,Georgetown,Big East,Career,9.26,65,65,32.6,14.5,6.1,2.1,8.2,3.2,1.5,1.5,2.9,2.5,5.3,9.8,0.5429999999999999,3.7,5.5,0.677,5.2,9.3,0.5579999999999999,0.1,0.5,0.273
199,Al-Farouq Aminu,Wake Forest,ACC,Career,8.1,62,60,30.1,14.4,6.1,3.3,9.4,1.4,1.2,1.3,2.9,2.8,5.0,10.6,0.476,3.9,5.7,0.687,4.6,8.9,0.522,0.4,1.7,0.238
202,Gordon Hayward,Butler,Horizon,Career,3.57,69,69,33.1,14.4,5.7,1.7,7.4,1.8,1.3,0.9,2.0,2.1,4.3,9.2,0.47,4.1,4.9,0.8240000000000001,2.6,4.6,0.569,1.7,4.6,0.369
205,Paul George,Fresno State,WAC,Career,1.13,63,63,33.9,15.5,4.8,1.9,6.7,2.4,2.0,0.9,2.7,2.8,5.1,11.4,0.447,3.4,4.2,0.8029999999999999,3.1,6.5,0.485,1.9,4.9,0.396
209,Cole Aldrich,Kansas,Big 12,Career,8.12,111,71,21.0,9.4,5.5,2.3,7.7,0.6,0.5,2.3,1.2,2.1,3.5,6.1,0.574,2.3,3.2,0.7290000000000001,3.5,6.1,0.574,0.0,0.0,0.0
211,Xavier Henry,Kansas,Big 12,Career,8.25,36,36,27.5,13.4,3.2,1.2,4.4,1.5,1.5,0.5,1.9,1.8,4.5,9.8,0.458,2.5,3.2,0.7829999999999999,2.6,5.3,0.4920000000000001,1.9,4.6,0.418
214,Ed Davis,UNC,ACC,Career,9.09,61,25,22.2,9.2,5.3,2.4,7.7,0.7,0.4,2.1,1.4,1.9,3.4,6.3,0.5479999999999999,2.3,3.7,0.623,3.4,6.3,0.5479999999999999,0.0,0.0,0.0
218,Patrick Patterson,Kentucky,SEC,Career,6.24,97,97,34.0,16.1,5.3,2.9,8.2,1.5,0.7,1.6,1.6,2.1,6.4,10.9,0.585,3.2,4.3,0.7340000000000001,6.1,10.1,0.604,0.2,0.8,0.329
222,Larry Sanders,VCU,CAA,Career,-0.69,101,82,23.5,10.3,5.2,2.5,7.7,0.5,0.6,2.7,1.5,3.1,4.1,7.9,0.52,2.1,3.6,0.5770000000000001,4.1,7.7,0.526,0.0,0.2,0.25
225,Luke Babbitt,Nevada,WAC,Career,1.98,68,68,34.9,19.4,6.2,2.0,8.1,1.8,0.9,0.8,2.1,2.2,6.5,13.6,0.48,5.2,5.8,0.893,5.4,11.0,0.494,1.1,2.6,0.421
227,Eric Bledsoe,Kentucky,SEC,Career,6.82,37,35,30.3,11.3,2.6,0.5,3.1,2.9,1.4,0.3,3.0,2.2,3.9,8.4,0.462,2.2,3.3,0.667,2.6,5.0,0.516,1.3,3.5,0.383
229,Avery Bradley,Texas,Big 12,Career,7.38,34,32,29.5,11.6,1.9,1.0,2.9,2.1,1.3,0.5,1.5,2.4,4.7,10.8,0.4320000000000001,1.1,1.9,0.545,3.4,7.5,0.457,1.2,3.3,0.375
233,Craig Brackins,Iowa State,Big 12,Career,7.34,96,95,31.8,16.0,6.0,1.7,7.7,1.6,0.5,1.0,2.0,2.0,6.0,13.4,0.445,3.4,4.7,0.726,5.2,10.9,0.48,0.7,2.5,0.292
236,Elliot Williams,Overall,,Career,6.36,68,46,24.9,11.1,2.3,0.8,3.1,2.2,1.0,0.1,1.9,1.9,3.4,7.6,0.454,3.2,4.4,0.7190000000000001,2.4,4.6,0.524,1.0,2.9,0.345
241,Trevor Booker,Clemson,ACC,Career,7.85,134,134,28.4,12.9,4.9,3.0,7.9,1.7,1.1,1.9,1.9,2.3,5.1,9.2,0.5589999999999999,2.4,3.9,0.624,5.0,8.6,0.574,0.2,0.5,0.324
246,Damion James,Texas,Big 12,Career,7.54,142,140,29.3,13.5,6.3,2.9,9.3,1.1,1.0,1.1,1.8,2.8,5.0,10.4,0.479,2.8,4.4,0.64,4.2,8.4,0.506,0.7,2.0,0.364
250,Dominique Jones,South Florida,Big East,Career,7.32,95,94,36.5,18.9,3.9,1.5,5.4,3.5,1.5,0.4,2.6,2.6,6.2,14.1,0.442,4.8,6.5,0.737,4.5,8.9,0.512,1.7,5.2,0.32299999999999995
255,Quincy Pondexter,Washington,Pac-10,Career,7.55,136,102,27.3,13.1,3.2,2.4,5.6,1.7,0.8,0.3,1.9,2.5,4.8,9.5,0.503,3.1,4.1,0.768,4.4,8.3,0.528,0.4,1.2,0.327
258,Jordan Crawford,Overall,,Career,6.01,65,42,29.3,15.5,3.1,1.0,4.1,2.6,1.2,0.2,2.2,1.6,5.6,12.4,0.455,2.6,3.3,0.765,4.0,8.0,0.494,1.7,4.4,0.384
263,Greivis Vasquez,Maryland,ACC,Career,7.95,136,123,33.6,16.0,3.8,1.0,4.8,5.7,1.4,0.3,3.3,2.2,5.5,13.0,0.425,3.2,3.9,0.828,3.8,7.9,0.487,1.7,5.1,0.329
265,Daniel Orton,Kentucky,SEC,Career,6.82,38,0,13.2,3.4,2.1,1.2,3.3,0.4,0.6,1.4,1.0,2.3,1.3,2.4,0.527,0.9,1.7,0.524,1.3,2.3,0.539,0.0,0.1,0.0
270,Lazar Hayward,Marquette,Big East,Career,7.79,138,118,26.4,13.5,4.4,2.2,6.6,0.9,1.1,0.3,1.7,2.7,4.8,10.7,0.452,2.6,3.3,0.789,3.6,7.3,0.4970000000000001,1.2,3.4,0.35700000000000004
275,Dexter Pittman,Texas,Big 12,Career,7.54,134,59,12.2,6.6,1.9,2.0,3.9,0.3,0.2,0.9,1.1,2.0,2.5,4.0,0.623,1.6,2.6,0.601,2.5,4.0,0.623,0.0,0.0,0.0
277,Hassan Whiteside,Marshall,CUSA,Career,1.57,34,23,26.1,13.1,6.2,2.7,8.9,0.3,0.6,5.4,1.9,2.4,4.9,9.4,0.524,3.2,5.5,0.588,4.8,9.2,0.522,0.1,0.1,0.6
281,Armon Johnson,Nevada,WAC,Career,1.28,101,99,32.7,14.3,2.9,0.8,3.7,4.4,0.8,0.2,2.7,1.7,5.4,11.6,0.467,2.8,3.7,0.75,4.7,9.2,0.514,0.7,2.4,0.289
284,Terrico White,Ole Miss,SEC,Career,5.59,66,55,30.8,14.5,2.8,1.2,4.0,1.9,0.8,0.2,1.5,1.8,5.3,12.3,0.429,2.0,3.0,0.68,3.4,7.0,0.491,1.9,5.4,0.34700000000000003
286,Darington Hobson,New Mexico,MWC,Career,3.84,35,35,33.6,15.9,7.1,2.1,9.3,4.6,1.3,0.4,3.0,1.9,5.5,12.5,0.44,3.7,5.7,0.653,4.4,9.5,0.465,1.1,3.1,0.361
291,Andy Rautins,Syracuse,Big East,Career,7.83,127,65,24.4,8.8,2.2,0.4,2.6,2.7,1.4,0.2,1.7,1.9,2.8,7.1,0.396,0.9,1.2,0.763,0.6,1.2,0.506,2.2,5.9,0.374
296,Landry Fields,Stanford,Pac-10,Career,7.35,129,65,23.6,10.8,3.5,1.6,5.0,1.6,0.9,0.4,1.5,1.6,3.9,8.4,0.463,2.3,3.3,0.6759999999999999,3.1,6.0,0.51,0.8,2.3,0.342
298,Lance Stephenson,Cincinnati,Big East,Career,8.45,34,32,28.2,12.3,3.5,1.9,5.4,2.5,0.9,0.2,2.4,1.9,4.8,10.8,0.44,2.3,3.5,0.664,4.3,8.7,0.495,0.5,2.1,0.219
303,Jarvis Varnado,Mississippi State,SEC,Career,5.47,141,119,25.5,10.0,5.3,2.5,7.8,0.6,0.5,4.0,1.4,2.4,3.9,6.6,0.589,2.2,3.6,0.595,3.9,6.6,0.591,0.0,0.0,0.25
308,Da'Sean Butler,West Virginia,Big East,Career,7.8,146,110,30.8,14.3,3.6,1.8,5.5,1.9,1.1,0.2,1.7,2.3,5.1,11.3,0.448,2.8,3.8,0.732,3.7,7.3,0.5,1.4,4.0,0.353
311,Devin Ebanks,West Virginia,Big East,Career,9.3,69,65,32.1,11.2,5.2,2.8,7.9,2.6,0.9,0.7,2.1,1.7,4.0,8.6,0.463,3.1,4.2,0.736,3.9,7.6,0.51,0.1,1.0,0.114
316,Jerome Jordan,Tulsa,CUSA,Career,2.63,133,119,24.2,11.3,5.2,2.2,7.4,0.8,0.4,2.5,2.0,2.5,4.1,7.2,0.5670000000000001,3.1,4.5,0.696,4.1,7.2,0.5670000000000001,0.0,0.0,0.0
320,Gani Lawal,Georgia Tech,ACC,Career,8.64,99,91,24.3,11.8,4.5,2.7,7.2,0.4,0.6,1.3,2.1,2.4,4.5,8.2,0.5479999999999999,2.8,5.0,0.552,4.5,8.2,0.55,0.0,0.0,0.0
322,Tiny Gallon,Oklahoma,Big 12,Career,7.79,30,21,24.0,10.3,5.2,2.8,7.9,0.8,0.7,0.8,2.3,2.8,4.1,7.4,0.547,2.1,3.0,0.6970000000000001,3.9,6.9,0.573,0.1,0.6,0.235
326,Solomon Alabi,Florida State,ACC,Career,7.34,77,68,22.0,9.1,3.3,2.1,5.4,0.4,0.5,2.1,1.7,2.1,3.5,6.6,0.534,2.1,2.9,0.745,3.5,6.6,0.535,0.0,0.0,0.0
331,Magnum Rolle,Overall,,Career,3.46,126,72,21.0,8.1,3.4,2.2,5.6,0.6,0.6,1.4,1.4,2.2,3.2,6.5,0.503,1.6,2.6,0.634,3.2,6.4,0.504,0.0,0.0,0.333
336,Luke Harangody,Notre Dame,Big East,Career,6.73,129,108,29.2,19.2,6.5,3.0,9.5,1.6,0.8,0.7,1.8,2.4,7.3,15.3,0.476,4.4,5.6,0.782,6.9,14.3,0.486,0.3,1.0,0.326
339,Willie Warren,Oklahoma,Big 12,Career,7.33,57,53,31.7,15.2,2.1,0.6,2.6,3.5,1.1,0.1,2.8,2.3,4.9,10.6,0.459,3.8,4.8,0.7879999999999999,3.2,5.8,0.55,1.7,4.9,0.35
344,Jeremy Evans,Western Kentucky,Sun Belt,Career,-1.72,134,130,23.5,7.9,3.5,2.4,5.9,0.5,0.6,1.7,1.0,2.4,3.2,5.0,0.639,1.5,2.2,0.684,3.1,4.7,0.654,0.1,0.2,0.364
349,Hamady N'Diaye,Rutgers,Big East,Career,6.36,124,85,22.1,5.8,3.7,1.8,5.5,0.4,0.4,2.9,1.4,2.7,2.2,4.0,0.539,1.5,2.5,0.5920000000000001,2.2,4.0,0.542,0.0,0.0,0.0
354,Ryan Reid,Florida State,ACC,Career,7.66,126,66,20.2,5.0,2.2,1.7,3.9,0.7,0.5,0.6,1.6,1.9,1.9,3.8,0.495,1.2,2.0,0.604,1.9,3.8,0.494,0.0,0.0,1.0
358,Derrick Caracter,Overall,,Career,5.88,79,36,19.7,10.3,3.2,2.4,5.6,0.6,0.7,0.8,2.2,3.1,4.0,7.1,0.563,2.2,3.6,0.628,3.9,6.9,0.57,0.1,0.2,0.313
363,Stanley Robinson,UConn,Big East,Career,7.64,126,103,26.2,9.8,4.1,2.1,6.2,1.0,0.6,1.0,1.7,1.6,3.9,8.0,0.485,1.4,2.2,0.6459999999999999,3.3,6.3,0.52,0.6,1.7,0.35100000000000003
368,Dwayne Collins,Miami (FL),ACC,Career,7.58,126,99,23.6,9.9,4.0,3.0,7.0,0.9,0.7,0.7,1.8,2.1,3.7,6.5,0.565,2.5,4.5,0.563,3.7,6.5,0.565,0.0,0.0,0.0
370,Kyrie Irving,Duke,ACC,Career,8.31,11,8,27.5,17.5,2.8,0.5,3.4,4.3,1.5,0.5,2.5,2.1,5.0,9.5,0.529,5.8,6.5,0.901,3.4,5.9,0.569,1.6,3.5,0.462
375,Tristan Thompson,North Texas,Sun Belt,Career,-3.82,128,99,25.5,12.7,2.1,0.6,2.8,1.3,0.6,0.1,1.7,1.8,3.6,8.2,0.439,4.1,5.0,0.816,2.2,4.6,0.472,1.4,3.6,0.396
377,Brandon Knight,Kentucky,SEC,Career,8.91,38,38,35.9,17.3,3.4,0.7,4.0,4.2,0.7,0.2,3.2,2.2,5.7,13.5,0.423,3.6,4.5,0.795,3.4,7.4,0.461,2.3,6.1,0.377
381,Kemba Walker,UConn,Big East,Career,9.39,111,77,32.9,16.1,3.4,1.0,4.4,4.1,1.7,0.3,2.3,1.5,5.2,12.2,0.428,4.5,5.8,0.7829999999999999,4.1,8.7,0.469,1.1,3.5,0.326
