,Name,School,Conf,Season,SOS,G,GS,MP,PTS,DRB,ORB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,FT,FTA,FT%,2P,2PA,2P%,3P,3PA,3P%
1124,Darrun Hilliard,Villanova,Big East,Career,7.8,132,112,26.8,11.4,2.5,0.5,3.0,1.9,1.3,0.4,1.6,2.1,3.7,8.5,0.436,2.4,3.2,0.748,2.1,4.2,0.507,1.6,4.3,0.3670000000000001
1129,Pat Connaughton,Notre Dame,Big East,Career,6.88,139,123,32.3,10.5,4.9,1.0,5.9,1.8,0.7,0.5,1.0,1.7,3.7,8.2,0.45,1.2,1.5,0.777,1.8,3.2,0.5489999999999999,1.9,5.0,0.386
1133,Olivier Hanlan,Boston College,ACC,Career,7.86,97,95,36.0,17.8,3.3,0.6,3.9,3.1,1.1,0.1,2.4,2.2,5.8,12.9,0.453,4.3,5.6,0.778,4.0,7.8,0.512,1.8,5.0,0.361
1138,Joseph Young,Overall,,Career,3.04,132,115,32.8,17.5,3.0,0.6,3.6,2.7,1.0,0.1,1.7,1.5,5.9,13.0,0.453,3.5,3.9,0.8859999999999999,3.7,7.4,0.501,2.2,5.6,0.39
1141,Andrew Harrison,Kentucky,SEC,Career,9.28,79,78,28.6,10.1,2.1,0.6,2.7,3.8,0.8,0.2,2.2,2.4,2.8,7.6,0.3720000000000001,3.6,4.6,0.777,1.9,5.2,0.374,0.9,2.4,0.3670000000000001
1146,Norman Powell,UCLA,Pac-10,Career,7.25,141,83,25.2,9.8,2.6,0.4,3.0,1.5,1.1,0.4,1.3,2.0,3.6,7.7,0.461,1.8,2.5,0.746,2.8,5.2,0.5329999999999999,0.8,2.5,0.314
1149,Dakari Johnson,Kentucky,SEC,Career,9.28,78,18,15.2,5.8,2.4,1.9,4.3,0.5,0.3,0.8,0.9,1.9,2.1,3.8,0.537,1.6,2.9,0.5589999999999999,2.1,3.8,0.537,0.0,0.0,0.0
1153,Tyler Harvey,Eastern Washington,Big Sky,Career,-4.49,84,67,31.4,18.6,2.9,0.6,3.5,2.3,1.0,0.2,1.8,1.9,5.9,12.7,0.463,3.8,4.4,0.847,2.8,5.5,0.504,3.1,7.2,0.4320000000000001
1158,Sir'Dominic Pointer,St. John's (NY),Big East,Career,7.43,130,76,28.2,8.3,4.0,1.2,5.2,2.3,1.5,1.3,1.7,2.8,3.1,6.6,0.477,1.9,2.8,0.6809999999999999,3.0,5.7,0.518,0.2,0.8,0.193
1163,Cady Lalanne,UMass,A-10,Career,4.55,111,80,25.2,10.0,4.9,3.1,7.9,0.2,0.4,1.8,1.9,2.5,3.8,6.9,0.5529999999999999,2.2,3.4,0.6659999999999999,3.7,6.5,0.575,0.1,0.4,0.213
1168,Branden Dawson,Michigan State,Big Ten,Career,9.93,130,122,26.6,10.1,4.4,2.5,6.9,1.4,1.3,1.1,1.7,1.6,4.4,7.8,0.5589999999999999,1.4,2.4,0.5579999999999999,4.4,7.7,0.564,0.0,0.1,0.0
1172,J.P. Tokoto,UNC,ACC,Career,9.4,107,67,22.3,6.7,3.0,1.4,4.4,2.7,1.2,0.3,1.7,2.0,2.7,5.8,0.462,1.2,2.3,0.544,2.5,5.0,0.491,0.2,0.7,0.266
1174,Ben Simmons,LSU,SEC,Career,7.0,33,32,34.9,19.2,8.6,3.1,11.8,4.8,2.0,0.8,3.4,2.8,6.5,11.7,0.56,6.0,9.0,0.67,6.5,11.6,0.561,0.0,0.1,0.333
1176,Brandon Ingram,Duke,ACC,Career,10.59,36,34,34.6,17.3,4.9,1.9,6.8,2.0,1.1,1.4,2.0,2.1,5.9,13.4,0.442,3.2,4.7,0.682,3.7,8.0,0.464,2.2,5.4,0.41
1178,Jaylen Brown,California,Pac-10,Career,7.87,34,34,27.6,14.6,4.3,1.1,5.4,2.0,0.8,0.6,3.1,3.2,4.8,11.1,0.431,4.2,6.4,0.654,3.9,8.1,0.482,0.9,3.0,0.294
1183,Kris Dunn,Providence,Big East,Career,8.09,95,83,31.5,12.8,4.0,1.1,5.1,5.8,2.2,0.4,3.3,2.9,4.5,9.9,0.45,3.1,4.5,0.693,3.7,7.8,0.476,0.8,2.2,0.354
1188,Buddy Hield,Oklahoma,Big 12,Career,9.28,132,118,31.7,17.4,3.4,1.6,5.0,1.9,1.3,0.3,2.2,2.0,5.9,13.2,0.448,2.8,3.4,0.836,3.3,6.5,0.508,2.6,6.8,0.39
1190,Jamal Murray,Kentucky,SEC,Career,8.84,36,36,35.2,20.0,3.7,1.5,5.2,2.2,1.0,0.3,2.3,2.1,6.8,14.9,0.454,3.3,4.2,0.7829999999999999,3.6,7.3,0.502,3.1,7.7,0.408
1192,Marquese Chriss,Washington,Pac-10,Career,8.12,34,34,24.9,13.7,2.9,2.5,5.4,0.8,0.9,1.6,2.0,4.1,5.3,9.9,0.53,2.6,3.8,0.682,4.6,8.2,0.568,0.6,1.8,0.35
1195,Jakob Poeltl,Utah,Pac-12,Career,8.1,70,70,26.9,13.3,5.2,2.8,8.0,1.3,0.5,1.7,1.8,2.4,5.1,7.7,0.6579999999999999,3.1,5.2,0.605,5.1,7.7,0.659,0.0,0.0,0.0
1198,Domantas Sabonis,Gonzaga,WCC,Career,4.67,74,32,26.6,13.5,6.8,2.6,9.4,1.3,0.5,0.6,2.0,3.0,5.2,8.2,0.632,3.1,4.2,0.7290000000000001,5.1,8.0,0.638,0.1,0.2,0.35700000000000004
1203,Taurean Prince,Baylor,Big 12,Career,9.08,129,42,20.2,10.2,2.7,1.6,4.2,1.1,0.9,0.5,1.7,2.1,3.6,7.9,0.46,2.0,2.8,0.718,2.6,5.2,0.504,1.0,2.7,0.376
1208,Denzel Valentine,Michigan State,Big Ten,Career,9.21,144,116,29.0,11.4,4.8,1.1,5.9,4.4,0.9,0.3,2.2,2.1,4.0,9.1,0.442,1.5,2.0,0.779,2.2,4.6,0.476,1.8,4.5,0.408
1211,Wade Baldwin,Vanderbilt,SEC,Career,7.45,68,54,29.6,11.6,3.6,0.4,4.1,4.8,1.3,0.2,2.3,2.5,3.4,8.0,0.431,3.5,4.4,0.8,2.2,5.1,0.436,1.2,2.9,0.422
1213,Henry Ellenson,Marquette,Big East,Career,5.57,33,33,33.5,17.0,7.6,2.2,9.7,1.8,0.8,1.5,2.4,2.5,5.9,13.2,0.446,4.3,5.8,0.7490000000000001,5.0,10.0,0.495,0.9,3.2,0.28800000000000003
1215,Malik Beasley,Florida State,ACC,Career,8.16,34,33,29.8,15.6,4.0,1.3,5.3,1.5,0.9,0.2,1.7,2.2,5.4,11.6,0.471,3.1,3.8,0.813,3.8,7.4,0.518,1.6,4.2,0.387
1220,Caris LeVert,Michigan,Big Ten,Career,9.3,103,70,26.4,10.4,3.2,0.4,3.5,2.7,0.9,0.2,1.3,1.5,3.6,8.2,0.434,2.0,2.6,0.77,2.3,4.9,0.456,1.3,3.2,0.401
1224,DeAndre Bembry,St. Joseph's,A-10,Career,4.2,101,100,36.1,15.7,5.3,1.4,6.7,3.6,1.4,0.8,2.5,2.5,5.7,12.6,0.457,3.1,4.9,0.628,4.6,8.8,0.52,1.2,3.8,0.312
1226,Malachi Richardson,Syracuse,Big East,Career,9.75,37,37,34.4,13.4,3.8,0.5,4.3,2.1,1.1,0.3,2.1,2.5,4.1,11.1,0.369,3.1,4.2,0.72,2.0,5.1,0.388,2.1,6.1,0.353
1231,Brice Johnson,UNC,ACC,Career,9.72,148,80,21.0,11.9,4.9,2.1,7.0,0.9,0.8,1.1,1.3,2.5,5.0,8.6,0.5770000000000001,2.0,2.8,0.715,5.0,8.6,0.5770000000000001,0.0,0.0,0.0
1234,Pascal Siakam,New Mexico State,WAC,Career,-3.6,68,61,32.7,16.6,6.1,3.6,9.7,1.5,0.9,2.0,1.9,2.6,6.5,11.8,0.551,3.5,5.0,0.711,6.4,11.5,0.5589999999999999,0.0,0.3,0.17600000000000002
1236,Skal Labissiere,Kentucky,SEC,Career,8.84,36,18,15.8,6.6,2.2,1.0,3.1,0.3,0.3,1.6,0.9,3.0,2.7,5.3,0.516,1.1,1.7,0.6609999999999999,2.7,5.2,0.521,0.0,0.1,0.0
1238,Dejounte Murray,Washington,Pac-10,Career,8.12,34,34,33.5,16.1,4.6,1.4,6.0,4.4,1.8,0.3,3.2,2.6,5.9,14.3,0.416,3.2,4.9,0.6629999999999999,4.9,10.8,0.457,1.0,3.5,0.28800000000000003
1242,Damian Jones,Vanderbilt,SEC,Career,7.13,99,95,27.1,13.3,4.3,2.1,6.4,0.7,0.4,1.7,2.0,3.0,5.1,9.1,0.5660000000000001,3.0,5.3,0.565,5.1,9.0,0.57,0.0,0.1,0.125
1244,Deyonta Davis,Michigan State,Big Ten,Career,6.94,35,16,18.6,7.5,3.4,2.1,5.5,0.7,0.3,1.8,0.9,2.3,3.4,5.7,0.598,0.7,1.1,0.605,3.4,5.7,0.598,0.0,0.0,0.0
1246,Cheick Diallo,Kansas,Big 12,Career,11.22,27,1,7.5,3.0,1.9,0.6,2.5,0.0,0.3,0.9,0.6,1.4,1.2,2.1,0.569,0.6,1.0,0.556,1.2,2.1,0.569,0.0,0.0,0.0
1249,Tyler Ulis,Kentucky,SEC,Career,8.76,72,35,30.1,11.3,1.9,0.5,2.4,5.3,1.2,0.1,1.5,1.7,3.6,8.4,0.4270000000000001,2.9,3.4,0.846,2.4,5.1,0.462,1.2,3.3,0.371
1254,Malcolm Brogdon,Virginia,ACC,Career,7.76,136,109,30.6,13.3,3.5,0.6,4.1,2.5,0.9,0.2,1.5,1.8,4.4,10.3,0.43,3.1,3.5,0.8759999999999999,3.1,6.6,0.466,1.4,3.7,0.365
1257,Chinanu Onuaku,Louisville,Big East,Career,8.36,66,55,21.0,6.2,4.0,2.4,6.4,1.1,0.8,1.6,1.7,2.7,2.8,4.5,0.619,0.7,1.3,0.547,2.8,4.4,0.621,0.0,0.0,0.0
1260,Patrick McCaw,UNLV,MWC,Career,3.28,65,48,31.7,12.2,3.3,0.9,4.2,3.3,2.0,0.4,1.9,1.9,4.2,9.6,0.439,1.9,2.5,0.753,2.3,4.3,0.527,1.9,5.2,0.3670000000000001
1262,Diamond Stone,Maryland,ACC,Career,8.31,35,22,23.1,12.5,3.2,2.2,5.4,0.4,0.5,1.6,1.5,2.3,4.8,8.4,0.568,2.9,3.8,0.7609999999999999,4.8,8.4,0.568,0.0,0.0,0.0
1264,Stephen Zimmerman,UNLV,MWC,Career,3.17,26,24,26.2,10.5,6.6,2.2,8.7,0.8,0.5,2.0,2.1,3.0,3.9,8.2,0.477,2.4,3.9,0.624,3.7,7.6,0.4920000000000001,0.2,0.7,0.294
1267,Isaiah Whitehead,Seton Hall,Big East,Career,7.92,56,52,30.5,15.8,3.0,0.7,3.7,4.5,1.3,1.1,3.4,2.3,5.1,13.6,0.375,3.5,4.6,0.757,3.0,7.8,0.387,2.1,5.8,0.359
1272,A.J. Hammons,Purdue,Big Ten,Career,7.64,132,95,24.3,12.1,4.7,2.4,7.0,0.8,0.4,2.6,2.1,2.5,4.6,8.6,0.539,2.7,4.0,0.69,4.6,8.4,0.544,0.0,0.2,0.261
1277,Jake Layman,Maryland,ACC,Career,7.17,141,115,27.9,10.2,3.7,1.1,4.8,1.1,0.9,0.8,1.4,1.9,3.4,7.7,0.445,1.9,2.6,0.759,2.0,3.8,0.53,1.4,3.9,0.362
1282,Michael Gbinije,Overall,,Career,8.27,120,61,25.5,9.8,2.3,0.8,3.1,2.6,1.3,0.3,1.6,2.1,3.4,7.5,0.454,1.7,2.6,0.639,2.1,4.1,0.511,1.3,3.4,0.387
1287,Georges Niang,Iowa State,Big 12,Career,8.83,138,126,29.8,16.1,4.0,1.2,5.2,3.1,0.7,0.5,2.3,3.1,6.2,12.3,0.5,2.5,3.2,0.763,4.8,8.7,0.5529999999999999,1.4,3.6,0.375
1290,Ben Bentil,Providence,Big East,Career,8.98,69,56,27.9,13.8,3.8,2.5,6.3,0.9,0.6,0.7,1.6,2.7,4.7,10.2,0.455,3.6,4.8,0.7609999999999999,3.8,7.5,0.503,0.9,2.7,0.324
1295,Joel Bolomboy,Weber State,Big Sky,Career,-4.62,130,90,28.8,11.4,6.9,3.2,10.1,0.7,0.6,1.4,2.0,2.3,3.8,7.2,0.528,3.6,5.0,0.713,3.5,6.4,0.547,0.3,0.7,0.371
1299,Kay Felder,Oakland,Summit,Career,0.81,101,100,35.9,17.5,3.7,0.7,4.3,7.8,1.6,0.2,3.5,2.8,5.5,12.9,0.426,5.1,6.2,0.8220000000000001,4.1,8.8,0.464,1.4,4.1,0.345
1304,Marcus Paige,UNC,ACC,Career,9.72,141,139,32.4,13.3,2.4,0.4,2.8,4.3,1.4,0.2,1.9,1.7,4.3,10.5,0.407,2.5,3.0,0.848,2.1,4.8,0.446,2.1,5.7,0.374
1307,Daniel Hamilton,UConn,Big East,Career,5.25,71,71,31.6,11.7,7.3,1.0,8.3,4.2,1.0,0.4,2.3,2.1,4.2,10.9,0.384,2.0,2.6,0.772,2.9,7.1,0.409,1.3,3.9,0.337
1312,Abdel Nader,Overall,,Career,3.83,117,82,24.3,10.3,3.4,0.9,4.3,1.1,0.8,0.6,2.3,2.5,3.7,9.5,0.391,1.8,2.5,0.731,2.6,5.9,0.443,1.1,3.6,0.305
1317,Isaiah Cousins,Oklahoma,Big 12,Career,9.28,137,119,27.7,9.7,3.0,0.8,3.9,2.7,1.1,0.3,1.9,2.0,3.5,8.5,0.408,1.5,2.1,0.711,2.2,5.3,0.408,1.3,3.2,0.407
1322,Tyrone Wallace,California,Pac-10,Career,7.3,129,114,31.6,12.6,4.2,1.0,5.2,3.4,1.1,0.4,2.2,2.5,4.6,11.0,0.415,2.6,4.2,0.613,3.6,7.9,0.464,0.9,3.1,0.292
1324,Markelle Fultz,Washington,Pac-10,Career,6.82,25,25,35.7,23.2,4.4,1.3,5.7,5.9,1.6,1.2,3.2,2.5,8.4,17.6,0.476,4.4,6.7,0.649,6.3,12.5,0.502,2.1,5.0,0.413
1326,Lonzo Ball,UCLA,Pac-10,Career,6.39,36,36,35.1,14.6,5.1,0.9,6.0,7.6,1.8,0.8,2.5,1.8,5.3,9.5,0.551,1.8,2.7,0.6729999999999999,3.0,4.1,0.732,2.2,5.4,0.412
1328,Jayson Tatum,Duke,ACC,Career,10.91,29,27,33.3,16.8,6.0,1.3,7.3,2.1,1.3,1.1,2.6,3.0,5.7,12.6,0.452,4.1,4.8,0.8490000000000001,4.3,8.6,0.504,1.4,4.0,0.342
1330,De'Aaron Fox,Kentucky,SEC,Career,10.49,36,34,29.6,16.7,3.4,0.6,4.0,4.6,1.5,0.2,2.4,2.5,5.9,12.4,0.479,4.3,5.9,0.736,5.5,10.5,0.521,0.5,1.9,0.246
1332,Jonathan Isaac,Florida State,ACC,Career,8.87,32,32,26.2,12.0,6.1,1.8,7.8,1.2,1.2,1.5,1.5,2.2,4.1,8.0,0.508,2.9,3.7,0.78,3.1,5.2,0.593,1.0,2.8,0.348
1334,Lauri Markkanen,Arizona,Pac-10,Career,7.63,37,37,30.8,15.6,4.8,2.4,7.2,0.9,0.4,0.5,1.1,2.0,5.0,10.2,0.4920000000000001,3.7,4.4,0.835,3.1,5.8,0.545,1.9,4.4,0.423
1336,Zach Collins,Gonzaga,WCC,Career,4.13,39,0,17.3,10.0,4.2,1.7,5.9,0.4,0.5,1.8,1.5,2.7,3.5,5.3,0.652,2.8,3.8,0.743,3.2,4.8,0.672,0.3,0.5,0.476
1338,Malik Monk,Kentucky,SEC,Career,10.49,38,37,32.1,19.8,2.2,0.3,2.5,2.3,0.9,0.5,2.0,1.9,6.6,14.7,0.45,3.9,4.7,0.8220000000000001,3.9,7.8,0.4970000000000001,2.7,6.9,0.397
1341,Luke Kennard,Duke,ACC,Career,10.75,73,47,31.2,15.7,3.3,1.1,4.3,2.0,0.9,0.3,1.2,2.1,5.2,11.2,0.461,3.4,3.9,0.867,3.2,6.1,0.526,2.0,5.1,0.383
1344,Donovan Mitchell,Louisville,Big East,Career,9.44,65,38,26.0,11.7,3.0,1.1,4.1,2.2,1.5,0.3,1.3,2.6,4.1,9.8,0.418,2.0,2.5,0.7879999999999999,2.6,5.2,0.4970000000000001,1.5,4.6,0.329
1346,Bam Adebayo,Kentucky,SEC,Career,10.49,38,38,30.1,13.0,4.9,3.1,8.0,0.8,0.7,1.5,1.7,2.6,4.5,7.5,0.599,4.1,6.2,0.653,4.5,7.5,0.599,0.0,0.0,0.0
1348,Justin Patton,Creighton,MVC,Career,8.95,35,34,25.3,12.9,4.5,1.7,6.2,1.2,0.9,1.4,1.7,2.7,5.7,8.5,0.6759999999999999,1.3,2.5,0.517,5.5,8.0,0.6829999999999999,0.2,0.4,0.5329999999999999
1352,D.J. Wilson,Michigan,Big Ten,Career,9.23,69,36,19.4,7.1,2.4,0.9,3.3,0.8,0.4,1.0,0.8,1.4,2.8,5.3,0.525,0.8,1.0,0.8170000000000001,2.1,3.3,0.619,0.7,2.0,0.363
1354,T.J. Leaf,UCLA,Pac-10,Career,6.39,35,35,29.9,16.3,6.0,2.2,8.2,2.4,0.6,1.1,1.5,2.5,6.7,10.9,0.617,2.1,3.0,0.679,5.9,9.2,0.644,0.8,1.7,0.466
1357,John Collins,Wake Forest,ACC,Career,10.16,64,34,20.7,13.4,4.2,2.8,7.0,0.4,0.5,1.2,1.4,2.8,4.9,8.2,0.601,3.6,4.9,0.7290000000000001,4.9,8.2,0.602,0.0,0.0,0.0
1359,Harry Giles,Duke,ACC,Career,10.91,26,6,11.5,3.9,2.3,1.6,3.8,0.3,0.3,0.7,0.7,2.2,1.7,3.0,0.5770000000000001,0.5,0.9,0.5,1.7,3.0,0.5770000000000001,0.0,0.0,0.0
1361,Jarrett Allen,Texas,Big 12,Career,12.75,33,33,32.2,13.4,5.4,3.0,8.4,0.8,0.6,1.5,2.5,2.1,5.4,9.6,0.5660000000000001,2.5,4.5,0.564,5.4,9.4,0.579,0.0,0.2,0.0
1364,OG Anunoby,Indiana,Big Ten,Career,7.53,50,10,17.4,6.8,2.1,1.4,3.5,0.8,1.0,0.9,1.1,1.7,2.7,4.8,0.563,0.9,1.8,0.522,2.1,3.3,0.652,0.5,1.5,0.365
1367,Tyler Lydon,Syracuse,Big East,Career,9.11,71,34,33.1,11.6,5.4,2.0,7.4,1.6,1.1,1.6,1.5,2.6,3.9,8.2,0.476,2.4,2.9,0.809,2.5,4.8,0.531,1.4,3.5,0.4
1370,Caleb Swanigan,Purdue,Big Ten,Career,8.12,69,69,29.2,14.4,8.2,2.2,10.4,2.4,0.4,0.5,3.0,2.5,5.1,10.2,0.501,3.3,4.4,0.76,4.2,7.9,0.537,0.9,2.3,0.376
1374,Kyle Kuzma,Utah,Pac-12,Career,6.84,96,64,21.0,10.1,3.9,1.6,5.5,1.5,0.3,0.4,1.6,1.6,3.9,7.7,0.506,1.8,2.8,0.633,3.3,5.9,0.5670000000000001,0.5,1.8,0.302
1376,Tony Bradley,UNC,ACC,Career,11.76,38,0,14.6,7.1,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,2.7,4.7,0.573,1.7,2.8,0.619,2.7,4.7,0.573,0.0,0.0,0.0
1378,Derrick White,Colorado,Big 12,Career,6.0,34,32,32.8,18.1,3.1,1.0,4.1,4.4,1.2,1.4,2.4,2.1,6.0,11.9,0.507,4.4,5.4,0.813,4.4,7.6,0.569,1.7,4.2,0.396
1383,Josh Hart,Villanova,Big East,Career,8.51,146,77,28.0,13.2,3.8,1.7,5.6,1.8,1.1,0.3,1.3,2.2,4.6,9.1,0.511,2.5,3.4,0.72,3.2,5.4,0.5920000000000001,1.4,3.6,0.389
1388,Davon Reed,Miami (FL),ACC,Career,8.24,131,99,28.1,10.3,3.0,0.7,3.6,1.6,0.9,0.4,1.4,1.9,3.3,7.8,0.43,2.0,2.6,0.779,1.8,3.9,0.466,1.5,3.9,0.395
1393,Wesley Iwundu,Kansas State,Big 12,Career,9.51,132,123,28.2,9.5,3.5,1.2,4.7,2.8,0.9,0.4,2.1,2.1,3.2,6.9,0.463,2.6,3.8,0.688,2.8,5.8,0.488,0.4,1.1,0.338
1398,Frank Mason,Kansas,Big 12,Career,11.74,145,113,30.0,13.0,2.9,0.5,3.4,4.0,1.1,0.1,1.9,2.0,4.2,9.2,0.454,3.3,4.4,0.7609999999999999,2.9,6.2,0.471,1.3,3.0,0.42
1401,Ivan Rabb,California,Pac-10,Career,7.1,65,64,30.6,13.2,6.6,2.9,9.4,1.2,0.6,1.1,1.8,3.1,4.8,8.8,0.544,3.5,5.2,0.6659999999999999,4.7,8.5,0.5489999999999999,0.1,0.3,0.409
1405,Semi Ojeleye,Overall,,Career,7.6,58,35,23.1,12.3,3.1,1.6,4.6,1.0,0.4,0.3,0.9,1.4,3.8,8.0,0.479,3.2,4.1,0.785,2.4,4.6,0.526,1.4,3.4,0.415
1409,Jordan Bell,Oregon,Pac-12,Career,8.23,105,62,24.7,7.8,4.7,2.1,6.8,1.5,1.1,2.2,1.5,2.3,3.3,5.4,0.61,1.2,1.8,0.63,3.3,5.2,0.622,0.0,0.2,0.188
1412,Jawun Evans,Oklahoma State,Big 12,Career,10.51,54,52,29.1,16.6,3.2,0.6,3.8,5.8,1.5,0.1,2.7,2.4,5.7,12.7,0.448,4.2,5.1,0.818,4.7,10.2,0.458,1.0,2.5,0.407
1415,Dwayne Bacon,Florida State,ACC,Career,8.52,69,67,28.8,16.5,3.8,1.2,5.0,1.6,1.0,0.1,2.1,1.9,6.1,13.5,0.449,3.1,4.2,0.733,4.8,9.3,0.51,1.3,4.1,0.312
1418,Tyler Dorsey,Oregon,Pac-12,Career,8.51,75,74,30.0,14.1,2.8,1.1,3.9,1.8,0.8,0.1,1.7,1.8,4.6,10.0,0.455,2.9,3.9,0.732,2.5,5.1,0.493,2.1,5.0,0.416
1421,Thomas Bryant,Indiana,Big Ten,Career,7.53,69,69,25.3,12.2,4.1,2.1,6.2,1.2,0.6,1.2,2.0,2.9,4.4,7.5,0.5920000000000001,3.0,4.1,0.718,4.0,6.4,0.63,0.4,1.1,0.373
1426,Damyean Dotson,Overall,,Career,4.85,134,133,29.1,12.9,3.8,1.2,5.0,1.1,0.8,0.2,1.1,1.6,4.8,10.4,0.464,1.5,1.9,0.7959999999999999,3.0,5.6,0.535,1.8,4.8,0.38
1430,Dillon Brooks,Oregon,Pac-12,Career,8.23,109,98,28.9,14.8,2.9,1.6,4.5,2.6,0.9,0.5,2.1,2.9,5.4,11.4,0.472,2.8,3.5,0.794,4.2,8.0,0.518,1.2,3.4,0.362
1432,Ike Anigbogu,UCLA,Pac-10,Career,6.39,29,0,13.0,4.7,2.6,1.4,4.0,0.2,0.2,1.2,0.8,2.5,2.0,3.5,0.564,0.8,1.5,0.535,2.0,3.5,0.564,0.0,0.0,0.0
1437,Sindarius Thornwell,South Carolina,SEC,Career,7.8,132,132,31.8,14.7,3.6,1.6,5.2,3.0,1.5,0.6,2.5,2.4,4.5,11.5,0.392,4.3,5.6,0.7709999999999999,3.2,7.5,0.42,1.4,4.0,0.339
1442,Monte Morris,Iowa State,Big 12,Career,10.28,140,121,33.8,12.2,2.9,0.8,3.7,5.5,1.6,0.3,1.2,1.5,4.5,9.5,0.476,2.0,2.6,0.78,3.5,6.7,0.517,1.1,2.9,0.381
1446,Edmond Sumner,Xavier,A-10,Career,9.81,59,48,26.1,11.2,2.9,0.5,3.4,3.8,1.2,0.4,2.2,2.2,3.5,8.1,0.429,3.7,5.0,0.73,2.8,5.9,0.483,0.6,2.2,0.285
1449,Kadeem Allen,Arizona,Pac-10,Career,7.43,68,61,27.5,9.1,3.3,0.3,3.6,3.3,1.3,0.7,2.0,2.4,3.0,6.6,0.459,2.3,3.1,0.725,2.3,4.8,0.482,0.7,1.8,0.4
1454,Alec Peters,Valparaiso,Horizon,Career,-0.95,134,134,31.7,17.5,5.5,2.0,7.4,1.5,0.8,0.3,1.9,2.1,5.9,12.1,0.487,3.6,4.2,0.846,3.7,6.9,0.539,2.2,5.2,0.416
1458,Nigel Williams-Goss,Overall,,Career,5.14,100,100,34.2,15.4,4.4,0.7,5.1,5.0,1.3,0.1,2.6,1.9,5.7,12.4,0.464,2.9,3.6,0.8059999999999999,4.8,9.4,0.506,1.0,2.9,0.331
1463,Jabari Bird,California,Pac-10,Career,6.95,114,80,26.4,10.8,2.5,0.8,3.3,1.2,0.5,0.3,1.2,1.7,3.9,8.9,0.442,1.2,1.6,0.753,2.3,4.5,0.512,1.6,4.4,0.371
1468,Jaron Blossomgame,Clemson,ACC,Career,7.5,128,125,30.7,13.5,4.6,1.9,6.5,1.1,0.6,0.7,1.5,1.6,4.9,10.0,0.488,3.0,4.1,0.7240000000000001,4.1,7.7,0.541,0.8,2.4,0.316
